n_words_q,n_words_a_solution,n_words_a_lecture,Text_Length,Word_Count,Nouns,Verbs,Adjectives,Adverbs,Num_Numbers,Num_Commas,Num_Complex_Words,Num_Unique_Words,Num_Content_Words,Num_Content_Words_No_Stopwords,Word_Length_Syllables,Avg_Sentence_Length,Num_Prepositional_Phrases,Num_Negated_Words_Stem,Num_Negated_Words_Lead_In,Num_Main_Noun_Phrases,Avg_Main_NP_Length,Num_Verb_Phrases,Prop_Active_Voice_Verbs,Prop_Passive_Voice_Verbs,Ratio_Active_to_Passive_Verbs,Num_Words_Before_Main_Verb,Num_Agentless_Passive_Constructions,Word_Length_Std_Dev,Num_Polysemic_Words,Num_Word_Senses,Num_Word_Senses_For_Content_Words,Num_Word_Senses_For_Nouns,Num_Word_Senses_For_Verbs,Num_Word_Senses_For_Non_Auxiliary_Verbs,Num_Word_Senses_For_Adjectives,Num_Word_Senses_For_Adverbs,Distance_To_Root_Nouns,Distance_To_Root_Verbs,flesch_kincaid_grade,flesch_kincaid_ease,coleman_liau_index,automated_readability_index,smog_index,gunning_fog,traenkle_bailer_index,education_level
11,167,154,2100,352,103,62,46,18,0,22,62,144,230,205,1.6448863636363635,17.695652173913043,35,0,0,88,2.0795454545454546,47,0.75,0.25,3.0,5.409090909090909,7,2.5851648344108313,109,1003,816,193,393,309,105,45,5.868274087024087,1.8159586887141068,9.3,55.95,10.03,9.6,11.6,8.96,88.84716281422922,high
10,81,201,1710,288,81,49,23,9,2,12,27,99,171,159,1.5243055555555556,14.863636363636363,38,0,0,86,1.8837209302325582,40,0.8275862068965517,0.1724137931034483,4.8,2.736842105263158,5,2.446879705504518,71,708,586,102,247,189,56,29,5.616735116735118,1.8540646775947531,6.3,74.39,9.79,8.6,8.8,6.49,51.31147741414139,high
16,42,219,1401,240,95,31,18,6,0,14,45,86,158,135,1.5791666666666666,16.470588235294116,31,0,0,78,2.2435897435897436,20,0.8571428571428571,0.14285714285714285,6.0,3.3333333333333335,1,2.515935324199641,63,505,388,164,161,97,34,12,5.84125138427464,1.548918563376768,7.6,65.52,9.1,8.4,11.7,8.83,53.42873019607842,middle
11,90,154,1606,258,69,49,29,18,0,11,42,109,166,151,1.682170542635659,17.176470588235293,28,0,0,66,2.1666666666666665,39,0.75,0.25,3.0,4.235294117647059,6,2.754341673250002,79,639,519,155,177,151,70,29,6.170519295519297,1.8671975460437003,9.2,56.05,11.71,10.8,11.9,9.34,78.12867265298678,high
19,28,119,793,147,43,18,20,5,0,8,8,64,86,75,1.346938775510204,15.272727272727273,19,3,4,39,2.1538461538461537,15,0.8333333333333334,0.16666666666666666,5.0,6.2727272727272725,1,2.1463204924368444,46,466,353,94,147,108,41,18,6.288571428571429,1.598735085577191,5.0,83.25,6.72,5.9,8.0,6.18,54.2809030401979,elementary
19,28,119,801,147,39,22,18,7,0,8,10,64,86,75,1.3741496598639455,15.272727272727273,19,4,4,38,2.1052631578947367,16,0.8333333333333334,0.16666666666666666,5.0,6.2727272727272725,1,2.183472133469539,45,512,399,85,201,162,41,19,6.344505494505494,1.9184473400959738,5.0,83.25,7.07,6.2,8.0,6.18,54.2809030401979,middle
10,25,132,743,139,51,21,9,3,26,6,5,62,93,67,1.2589928057553956,13.307692307692308,20,0,0,53,1.9433962264150944,12,0.8,0.2,4.0,3.0,2,1.9210384421549858,45,448,332,130,114,56,72,14,6.459463203463204,1.2810724363355943,2.0,101.7,3.18,2.4,6.7,5.79,37.93810376978416,elementary
4,67,53,566,106,39,18,7,1,0,9,13,65,70,56,1.4245283018867925,10.666666666666666,11,1,1,35,1.8857142857142857,12,0.875,0.125,7.0,2.3333333333333335,1,2.198092962899728,50,555,468,135,200,155,40,1,5.605677655677656,2.017965403733395,4.4,79.46,4.96,3.5,8.6,5.41,89.14396865408803,elementary
9,24,132,755,137,51,21,9,3,26,6,7,61,95,67,1.2992700729927007,13.153846153846153,18,0,0,51,2.019607843137255,12,0.8,0.2,4.0,3.0,2,2.084475240712588,43,452,337,120,122,64,70,14,6.40460606060606,1.5197087999719578,3.2,93.34,3.99,3.0,7.3,5.77,53.35890937226276,elementary
8,29,85,562,108,31,17,11,2,0,9,5,57,69,56,1.3240740740740742,12.8,12,1,1,31,1.7096774193548387,13,0.7777777777777778,0.2222222222222222,3.5,6.25,2,2.1386283310912053,37,401,340,72,127,95,43,2,5.148072562358276,1.8602099654731235,4.0,85.89,4.91,3.8,6.7,5.06,78.45955324444444,elementary
17,43,219,1427,242,97,36,13,3,0,14,45,86,157,131,1.5743801652892562,16.58823529411765,31,0,0,79,2.2151898734177213,23,0.8823529411764706,0.11764705882352941,7.5,4.7272727272727275,1,2.5058227389836865,62,526,390,160,197,114,25,10,5.7552048726467335,1.5727736404598063,7.7,65.42,9.45,8.7,11.7,8.85,54.64145780845894,middle
9,110,404,2909,454,153,78,39,6,19,19,120,112,277,261,1.7885462555066078,16.0,51,0,1,132,2.378787878787879,52,0.5142857142857142,0.4857142857142857,1.0588235294117647,5.074074074074074,13,2.67472720393663,85,768,618,153,352,294,43,13,5.23897362327595,1.9316237633154927,10.2,48.09,11.36,10.3,13.0,7.32,74.4071439295154,middle
25,43,182,1286,224,64,38,27,8,0,7,35,120,139,122,1.5446428571428572,12.6,21,2,2,72,1.6944444444444444,29,0.9444444444444444,0.05555555555555555,17.0,2.8181818181818183,1,2.6817800722407026,90,939,837,218,293,267,67,29,5.8243894993895,1.6942904927795037,6.5,68.47,8.22,6.4,10.8,8.61,99.8697696,high
11,20,78,523,77,29,12,4,1,26,0,9,44,46,41,1.4805194805194806,12.333333333333334,9,0,0,35,2.4857142857142858,9,0.7142857142857143,0.2857142857142857,2.5,2.3333333333333335,2,2.591616932894971,34,342,273,80,98,59,51,2,5.890175565175565,1.701037851037851,4.5,79.16,5.71,5.1,7.9,4.96,71.76697534199133,middle
11,1,86,659,103,35,31,4,2,0,6,18,61,73,58,1.5728155339805825,10.25,12,1,1,32,1.75,25,0.6153846153846154,0.38461538461538464,1.6,4.5,3,2.2857016616270696,44,383,247,89,161,103,10,7,5.369739982239981,1.2542218729938028,5.5,71.21,10.87,8.3,9.1,6.16,73.89311409708736,elementary
6,78,101,957,176,58,35,13,2,0,4,13,70,123,89,1.3352272727272727,10.947368421052632,18,1,1,58,1.9137931034482758,26,0.7647058823529411,0.23529411764705882,3.25,2.9285714285714284,4,2.1885549404282103,52,544,419,127,157,93,59,16,6.212429237429238,2.061202803044908,3.3,87.52,5.83,4.2,6.6,3.68,90.75698109090906,elementary
11,23,164,885,158,41,40,10,6,26,5,5,78,97,77,1.3734177215189873,10.631578947368421,15,1,1,49,1.9183673469387754,24,0.8125,0.1875,4.333333333333333,2.7857142857142856,3,1.9482571227575636,56,752,626,97,440,362,50,11,6.294209956709956,1.692227657703848,2.4,95.27,3.51,2.3,5.8,4.86,99.9885983797468,elementary
5,202,404,3422,534,194,90,48,13,14,26,151,116,348,314,1.850187265917603,15.21951219512195,59,2,3,154,2.2662337662337664,59,0.475,0.525,0.9047619047619048,4.942857142857143,17,2.819108487836134,86,760,607,151,345,287,43,17,5.525879616837064,1.8482904299821592,9.7,49.52,11.64,10.1,13.1,6.79,77.2921118998812,middle
17,41,191,1299,223,84,35,17,11,0,6,44,85,161,127,1.5919282511210762,12.047619047619047,25,1,1,67,1.9850746268656716,22,0.7058823529411765,0.29411764705882354,2.4,4.461538461538462,4,2.2804002325679966,67,786,666,157,369,317,41,21,5.827950752950753,1.433514554452811,6.2,69.18,8.74,6.6,10.9,6.21,77.84041913815926,middle
26,39,363,2198,369,102,62,38,14,0,29,46,158,238,197,1.5420054200542006,14.89655172413793,38,3,3,103,2.145631067961165,40,0.8125,0.1875,4.333333333333333,4.260869565217392,6,2.6901056402757586,113,1067,914,239,360,315,74,17,5.818527640941434,1.666023308473362,7.1,66.94,9.5,8.2,10.1,6.85,86.73734729165497,middle
28,65,94,965,159,55,23,11,8,0,7,26,95,97,91,1.6603773584905661,15.833333333333334,18,0,0,57,1.8771929824561404,16,1.0,0.0,14.0,6.0,0,2.53473944975839,69,560,477,134,183,170,21,37,5.293167789001123,2.27339473392105,7.0,67.25,9.5,8.2,10.4,7.72,73.47192628930816,middle
9,41,75,576,105,26,9,15,4,0,20,14,53,55,48,1.4095238095238096,22.833333333333332,15,3,3,23,2.130434782608696,5,0.5,0.5,1.0,7.5,1,2.5526652293715744,40,357,248,105,67,28,36,2,6.471218885281385,1.955929487179487,7.8,70.63,6.73,8.5,11.2,9.67,31.591744380952406,elementary
15,32,191,1243,211,79,34,16,9,0,7,42,82,153,118,1.5924170616113744,11.523809523809524,25,1,1,62,2.0161290322580645,21,0.6428571428571429,0.35714285714285715,1.8,4.6923076923076925,4,2.5032491632669776,65,778,646,154,331,279,44,17,5.798673548673549,1.7150603506344553,6.0,69.79,8.73,6.6,10.9,5.9,70.45440861024596,elementary
14,1,264,1779,319,73,65,21,4,0,17,35,107,172,151,1.457680250783699,19.72222222222222,36,0,0,92,1.6630434782608696,50,0.8076923076923077,0.19230769230769232,4.2,3.4375,5,2.37238844287158,81,789,630,142,271,200,74,21,5.758825944170772,1.653239936689772,7.8,70.43,8.35,9.0,10.6,8.71,70.80179838383836,middle
30,26,268,1674,292,88,59,26,14,0,3,37,167,208,166,1.5376712328767124,11.678571428571429,27,3,3,95,1.7894736842105263,40,0.896551724137931,0.10344827586206896,8.666666666666666,2.55,3,2.5969361214689957,129,1354,1193,356,513,448,74,30,6.284384079972315,1.892015728064368,5.1,77.43,8.45,6.4,9.0,7.62,102.17730861839529,high
11,98,154,1679,279,64,58,33,19,0,9,39,120,177,158,1.6093189964157706,18.294117647058822,25,2,0,70,2.0,44,0.8,0.2,4.0,5.0588235294117645,6,2.638513856914989,89,827,663,164,305,260,69,39,5.906517094017095,1.9324187397937953,9.7,54.83,10.9,10.4,11.7,9.71,100.39684596753109,high
24,43,229,1810,287,86,46,37,13,0,4,72,140,196,172,1.7735191637630663,32.1,20,2,2,97,2.11340206185567,33,0.9166666666666666,0.08333333333333333,11.0,7.222222222222222,2,2.8515539796865847,110,952,836,219,276,250,140,34,5.567235653235653,2.014811138837113,15.7,33.88,13.18,17.7,18.4,16.64,113.75744438745646,middle
8,22,1,152,27,12,8,0,0,0,2,0,21,20,18,1.3333333333333333,11.333333333333334,1,2,0,9,1.7777777777777777,6,1.0,0.0,3.0,3.5,0,1.1086392257107973,15,142,124,52,48,35,0,0,7.171515151515152,0.9784382284382285,2.1,96.18,6.52,5.1,3.1,3.6,170.29943614814815,elementary
27,42,229,1874,290,91,44,39,12,0,4,80,139,201,174,1.8379310344827586,35.888888888888886,22,0,0,95,2.221052631578947,31,0.9047619047619048,0.09523809523809523,9.5,7.666666666666667,2,2.96909167099517,111,952,826,229,273,228,134,45,5.698335521920428,1.9169849404459365,18.2,21.87,14.11,20.2,20.1,18.54,103.17355644444443,middle
36,40,133,1102,188,48,38,20,14,0,4,30,113,130,101,1.622340425531915,14.066666666666666,14,5,4,53,1.830188679245283,31,0.7647058823529411,0.23529411764705882,3.25,4.222222222222222,4,2.6608667073387253,82,856,699,196,359,288,47,50,5.56920016920017,1.725614331644407,8.2,58.58,8.98,7.6,10.5,8.45,122.30060458439716,high
13,30,88,596,107,46,17,5,2,20,6,3,52,74,60,1.2990654205607477,12.454545454545455,13,0,0,36,1.8888888888888888,8,0.6666666666666666,0.3333333333333333,2.0,1.8333333333333333,2,1.833920163771812,40,399,324,136,96,57,45,4,6.530359168460773,1.6417785917785916,2.9,94.15,3.52,2.6,6.1,5.39,66.02471832115546,elementary
4,151,11,771,146,44,30,21,3,2,8,5,78,106,85,1.2397260273972603,9.157894736842104,8,1,1,52,1.7115384615384615,22,0.9411764705882353,0.058823529411764705,16.0,1.8125,1,1.8781616241707708,58,599,464,105,210,146,33,4,8.153253968253967,1.6711056060545626,1.6,97.5,3.96,2.5,6.1,3.9,150.3003694246575,elementary
19,20,71,605,96,27,22,4,5,0,3,13,58,58,53,1.625,11.2,6,1,0,31,1.6451612903225807,15,0.8888888888888888,0.1111111111111111,8.0,2.875,1,3.151949765841595,46,472,367,101,213,161,5,22,5.5483573717948715,2.234780232994519,7.0,61.73,11.05,8.3,9.6,7.17,139.23839519999999,high
6,1,1,236,41,16,7,2,1,0,0,6,33,26,23,1.5609756097560976,11.25,3,1,1,12,2.0833333333333335,6,1.0,0.0,3.0,2.0,0,2.463776838863296,23,299,199,64,62,17,12,1,6.960246598639456,1.270152946468736,6.1,69.48,8.38,6.2,9.5,8.02,126.13716292682928,middle
7,20,154,859,142,44,29,9,6,35,5,14,64,89,66,1.5140845070422535,9.25,14,1,1,46,1.934782608695652,12,0.7777777777777778,0.2222222222222222,3.5,3.090909090909091,2,2.4430124557920148,44,523,390,74,212,134,61,17,6.154431533378903,1.5291202261790497,3.2,87.82,5.25,3.5,8.0,5.3,96.61787673239438,elementary
36,56,86,1021,166,52,28,12,6,0,5,35,95,99,89,1.6987951807228916,18.2,18,0,0,54,1.8518518518518519,19,1.0,0.0,12.0,4.0,0,2.87144732751297,66,505,412,140,185,140,18,26,5.3524122807017545,2.097478302057933,8.0,64.51,11.24,10.3,11.6,9.91,77.42590575421684,high
34,58,229,1963,306,96,52,35,13,2,5,76,150,209,187,1.8071895424836601,34.6,26,5,0,97,2.0721649484536084,38,0.7777777777777778,0.2222222222222222,3.5,7.2,6,2.8740580628072516,117,987,851,229,295,243,126,37,5.497131777687333,1.8833207936591396,16.4,31.85,13.59,19.2,18.9,17.62,93.05736264575162,middle
17,37,96,794,126,38,42,8,5,0,8,25,68,93,71,1.6031746031746033,10.133333333333333,11,3,3,33,1.9696969696969697,34,0.5333333333333333,0.4666666666666667,1.1428571428571428,4.071428571428571,4,2.397153872162335,53,528,310,78,251,129,30,13,4.787611198325484,1.261476009370746,5.4,71.41,10.23,7.8,9.0,5.26,109.73198295873017,elementary
35,39,86,826,146,47,24,10,5,0,6,25,83,86,80,1.5616438356164384,16.4,14,0,0,52,1.6730769230769231,17,0.9090909090909091,0.09090909090909091,10.0,7.5,1,2.4162554678717005,59,517,459,119,241,228,16,27,6.002604166666667,1.9954393976950366,6.6,73.58,8.46,7.8,10.8,8.58,94.21628289315069,high
11,1,127,972,148,46,44,11,6,0,8,27,76,107,89,1.7094594594594594,11.6,16,2,2,45,1.8888888888888888,33,0.6875,0.3125,2.2,4.285714285714286,3,2.4780261472711564,57,572,399,114,257,180,17,6,5.118234345020058,1.2070092653718387,7.2,61.43,12.56,9.7,9.9,6.66,83.09328981621621,middle
17,22,111,617,127,34,22,21,9,0,1,12,50,87,74,1.2834645669291338,11.692307692307692,10,0,0,32,2.03125,18,0.9166666666666666,0.08333333333333333,11.0,3.1818181818181817,1,2.0693836195101984,38,513,388,86,235,171,51,3,6.683823529411764,1.198209005459274,2.4,95.37,2.24,1.4,8.6,5.18,118.96691155905512,elementary
10,104,404,2856,460,158,78,41,6,11,16,132,110,284,269,1.826086956521739,15.848484848484848,49,0,1,127,2.3464566929133857,52,0.5142857142857142,0.4857142857142857,1.0588235294117647,4.925925925925926,13,2.640641355331281,82,748,594,135,352,294,43,13,5.314504741290456,1.9316237633154927,10.0,48.6,10.95,9.6,12.8,7.04,81.64347376021078,middle
9,41,131,1088,162,46,31,24,12,0,10,40,89,113,98,1.845679012345679,13.266666666666667,9,1,0,46,1.8043478260869565,23,0.8333333333333334,0.16666666666666666,5.0,2.5454545454545454,2,3.0365602355822725,66,568,462,119,169,117,57,24,5.1817381543188,1.4271799628942488,9.9,43.59,13.38,10.9,11.9,9.75,146.08878915555556,high
6,28,88,546,97,38,17,7,3,22,6,3,46,69,51,1.288659793814433,10.833333333333334,9,0,0,35,1.8285714285714285,8,0.6666666666666666,0.3333333333333333,2.0,1.8333333333333333,2,1.849014410016112,34,354,279,119,95,56,45,4,6.735366767027666,1.5970009157509155,2.2,95.77,2.29,1.4,6.0,4.82,102.46312728522335,middle
10,58,201,1568,263,77,41,25,4,2,10,28,93,157,145,1.5247148288973384,14.238095238095237,32,0,0,81,1.9876543209876543,31,0.7916666666666666,0.20833333333333334,3.8,2.736842105263158,5,2.3662718430465586,64,582,478,99,238,180,49,4,5.58895733895734,1.6180828639475255,6.1,74.9,9.61,8.4,8.8,6.38,64.38342142893356,high
11,1,185,906,173,44,31,10,7,0,9,5,89,93,89,1.2196531791907514,14.214285714285714,22,1,1,45,1.9555555555555555,27,0.7692307692307693,0.23076923076923078,3.3333333333333335,4.75,1,1.7136364359480032,69,931,810,160,319,280,72,28,6.040828924162258,1.8563258511222314,3.4,92.73,5.55,4.7,5.8,5.42,57.676830302229575,elementary
5,186,332,2869,458,166,81,31,14,10,21,123,98,304,259,1.777292576419214,14.105263157894736,52,2,2,142,2.1267605633802815,46,0.41935483870967744,0.5806451612903226,0.7222222222222222,4.8,14,2.7584499917269087,75,648,514,183,260,202,39,28,5.742003367003368,1.899878364117086,9.3,50.53,10.89,9.0,12.8,6.72,74.44804649781656,elementary
18,26,86,628,116,36,13,17,1,0,5,6,52,67,61,1.3362068965517242,14.666666666666666,16,0,0,34,2.176470588235294,10,0.8333333333333334,0.16666666666666666,5.0,5.5,1,2.122773716645478,36,384,294,82,132,93,28,10,7.084325396825396,1.8248827196195614,4.8,83.76,6.6,5.8,7.8,5.85,44.14094133333333,elementary
17,42,67,868,155,42,42,4,2,0,1,19,65,90,79,1.4838709677419355,12.214285714285714,15,0,0,55,1.2,35,1.0,0.0,18.0,2.090909090909091,0,2.3837465592400684,46,533,414,63,350,279,4,5,5.808282458282458,1.6589039732197628,5.3,77.13,7.64,5.8,8.8,5.47,96.4759771797235,elementary
7,24,126,799,125,44,20,11,7,32,11,18,62,86,66,1.672,13.583333333333334,11,0,0,42,1.9285714285714286,8,0.7142857142857143,0.2857142857142857,2.5,2.2,2,2.7101704743428963,42,406,299,89,113,74,52,25,6.973605621431709,1.735934065934066,5.5,76.42,7.76,6.3,9.9,6.97,106.12295466666669,elementary
10,66,201,1806,287,80,55,31,7,2,13,47,98,183,159,1.6202090592334495,13.708333333333334,32,0,0,86,1.9534883720930232,43,0.8,0.2,4.0,3.0,6,2.884019925522594,71,686,552,119,292,215,45,10,5.477814139883106,1.6676861281915587,7.0,67.15,11.47,9.6,10.5,6.84,77.26054712659695,high
24,103,94,1070,195,52,31,11,9,0,10,17,107,103,94,1.4256410256410257,17.307692307692307,28,0,0,67,1.671641791044776,24,0.9545454545454546,0.045454545454545456,21.0,3.5,1,2.2134012964542373,78,730,611,152,287,242,11,34,5.757589394732252,2.232260838576628,6.1,80.31,7.6,7.8,9.5,8.16,35.106158974358976,middle
19,28,119,793,147,42,20,18,5,0,8,8,64,85,75,1.3197278911564625,15.272727272727273,19,3,4,39,2.1794871794871793,14,0.8333333333333334,0.16666666666666666,5.0,6.2727272727272725,1,2.1463204924368444,45,473,360,89,164,125,41,18,6.087755102040816,1.8390033268575778,5.0,83.25,6.72,5.9,8.0,6.18,54.2809030401979,middle
9,20,104,629,112,39,20,8,2,17,4,10,56,69,56,1.4107142857142858,11.416666666666666,13,0,0,40,2.025,11,0.7777777777777778,0.2222222222222222,3.5,2.875,2,2.237048181494205,38,383,276,82,114,56,67,7,6.050834879406308,1.281072436335594,2.5,94.96,4.61,3.2,6.4,5.06,73.49228647619046,elementary
22,23,165,1098,184,55,34,11,6,0,7,21,93,115,97,1.548913043478261,12.529411764705882,15,3,0,58,1.896551724137931,25,1.0,0.0,15.0,2.4545454545454546,0,2.850894463822948,67,740,608,174,280,209,24,19,5.643584923848082,1.8123397408773347,6.1,69.48,8.96,7.0,9.2,6.71,114.89390307928387,middle
16,41,219,1390,239,99,33,14,3,0,14,53,87,157,131,1.6317991631799162,16.470588235294116,32,0,0,79,2.151898734177215,22,0.8666666666666667,0.13333333333333333,6.5,3.1,1,2.5035469664828782,62,510,374,166,180,97,25,10,6.010081053698075,1.5359669472827369,7.6,65.62,8.98,8.2,11.4,8.81,47.64573382229881,middle
6,31,254,1562,279,72,42,29,15,0,18,26,127,177,138,1.4695340501792116,12.88,29,3,3,77,2.0,27,0.8636363636363636,0.13636363636363635,6.333333333333333,3.3333333333333335,3,2.5702948550978184,93,900,750,186,300,255,66,15,6.311169183120401,1.599192541307203,5.3,77.13,7.58,6.0,8.5,5.74,87.17011186351255,middle
6,29,56,416,81,21,21,8,2,0,0,2,33,52,44,1.0617283950617284,7.833333333333333,6,3,2,30,1.8666666666666667,12,1.0,0.0,9.0,2.7142857142857144,0,1.2614360271056593,21,290,229,64,107,68,18,1,4.807575757575758,1.4091836734693879,0.0,106.87,2.9,1.5,5.5,2.72,127.75898162962964,elementary
24,43,229,1823,289,87,47,36,12,0,4,72,140,195,173,1.7647058823529411,32.3,19,2,2,99,2.080808080808081,34,0.9230769230769231,0.07692307692307693,12.0,4.9,2,2.8053727912074895,110,952,836,219,276,250,140,34,5.567235653235652,2.014811138837113,15.7,33.68,13.18,17.8,18.4,16.68,118.4234887584775,middle
16,32,133,921,151,39,37,15,4,0,5,9,66,97,82,1.2980132450331126,10.38888888888889,11,0,1,44,2.159090909090909,24,1.0,0.0,17.0,2.9166666666666665,0,1.8769198027999792,54,650,471,71,309,219,47,14,6.267436974789916,1.3764073645652595,3.2,87.92,7.22,5.4,7.4,4.27,127.22001440470933,elementary
11,1,86,656,102,35,31,5,1,0,8,18,68,72,59,1.5980392156862746,11.090909090909092,12,1,1,30,1.6666666666666667,26,0.5833333333333334,0.4166666666666667,1.4,4.2727272727272725,3,2.322846759981716,50,409,269,107,164,106,14,1,5.212307457499765,1.4162803709064096,5.7,70.5,11.39,8.8,9.1,6.47,71.82371820320856,elementary
11,112,154,1767,298,80,51,27,14,0,13,42,118,178,160,1.6140939597315436,16.095238095238095,31,0,0,82,1.9634146341463414,43,0.7857142857142857,0.21428571428571427,3.6666666666666665,4.315789473684211,6,2.671157802381767,84,669,536,172,194,149,73,28,5.678476037851038,1.9349284714076003,8.8,57.06,9.97,8.9,11.4,8.77,84.50031912815594,high
21,17,160,1070,177,54,30,13,7,0,3,25,98,117,97,1.5875706214689265,12.5625,16,2,0,51,2.0588235294117645,23,1.0,0.0,12.0,3.3636363636363638,0,2.9369511870659806,73,785,670,199,253,201,34,20,6.098905368136138,1.946815834958692,6.2,69.28,9.54,7.4,9.6,7.12,104.00574554802259,high
